Name;Ind Sect;Net Debt LF;Tot Eqty LF;DebtToEquity;ROE LF;P/E;EBITDA to Net Sales:Q;FCF T12M;Revenue T12M;Gr PoP of Revenue:CQ T12M;MSCI ESG Rtg;Dvd Ind Yld;PE/G Pl Yld;Inv Turnover LF;Curr Ratio LF;P/S;ROIC LF;P/B;Annualized Net Interest Margin;Effic Ratio LF;R&D Exp T12M;FCF Yld;Gr PoP of FFO:CQ T12M;Ocpncy Rt;ROA LF;Ast TO LF;;;
AIRBNB INC;Communications;-8993999872;8488000000;-1,059613557;20,8733;48,4831;41,2647;4115000064;10839999872;12,9049;BB;;;;;;;;;;;;;;;;;;
ALPHABET INC;Communications;-64939999232;3,14119E+11;-0,206736937;32,1014;21,9104;37,0599;55822999040;3,39859E+11;14,3798;BBB;;;;;;;;;;;;;;;;;;
AT&T INC;Communications;1,43757E+11;1,1826E+11;1,215601237;8,59;10,2336;23,8407;20232000256;1,2206E+11;0,2554;BBB;;;;;;;;;;;;;;;;;;
BOOKING HOLDINGS INC;Communications;445000000;-3652999936;-0,121817686;;33,5428;41,7063;8501000192;23051999744;11,7402;A;;;;;;;;;;;;;;;;;;
CHARTER COMMUNICATIONS INC;Communications;94593998848;18054000640;5,239503462;37,1076;11,7598;39,7245;3762000000;54869999616;0,5498;BBB;;;;;;;;;;;;;;;;;;
COMCAST CORP;Communications;92549996544;86542000128;1,069422898;17,4288;11,2923;30,3617;13927999744;1,23069E+11;1,8185;BBB;;;;;;;;;;;;;;;;;;
EXPEDIA GROUP INC;Communications;1636000000;2566000128;0,637568168;71,2521;22,5089;23,9655;1907000128;13394000128;6,5553;BB;;;;;;;;;;;;;;;;;;
FOX CORP;Communications;4084000000;11578000384;0,35273794;17,7378;9,6331;28,5634;1658999936;14336999936;-3,959;A;;;;;;;;;;;;;;;;;;
GODADDY INC;Communications;3144600064;356700000;8,815811786;;15,1355;25,2963;1228700000;4480899968;6,8484;AA;;;;;;;;;;;;;;;;;;
INTERPUBLIC GROUP OF COS INC;Communications;2750500096;3830299904;0,71809001;21,8255;11,3283;7,5396;922500000;10858000128;0,0562;AA;;;;;;;;;;;;;;;;;;
MATCH GROUP INC;Communications;2986416896;-88504000;-33,74329856;;14,5134;31,0505;893725008;3485424960;6,1197;BB;;;;;;;;;;;;;;;;;;
META PLATFORMS;Communications;-21852999680;1,64529E+11;-0,13282157;36,1344;25,7928;54,1674;52247999488;1,56226E+11;23,0562;B;;;;;;;;;;;;;;;;;;
NETFLIX INC;Communications;9284720640;22720735232;0,408645255;34,714;48,8115;30,4375;7124987904;37587278848;14,7965;BB;;;;;;;;;;;;;;;;;;
NEWS CORP;Communications;2272999936;9166000128;0,247981661;4,3976;34,5945;15,1727;750000000;10162999808;2,6566;BBB;;;;;;;;;;;;;;;;;;
OMNICOM GROUP;Communications;4229900032;5001299968;0,845760114;40,6206;13,7419;17,0376;1501700000;15427800064;6,4023;BBB;;;;;;;;;;;;;;;;;;
PARAMOUNT GLOBAL;Communications;13253000192;17075000320;0,776163979;-28,328;6,3288;6,4329;762000000;28867000320;-4,2395;A;;;;;;;;;;;;;;;;;;
T-MOBILE US INC;Communications;1,06397E+11;64249999360;1,655984447;16,0871;26,881;39,4157;17251000064;80006000640;2,1097;BB;;;;;;;;;;;;;;;;;;
LIVE NATION ENTERTAINMENT IN;Communications;2698905088;1953650048;1,381468032;;119,3284;10,9739;662933024;23312972800;9,9492;BBB;;;;;;;;;;;;;;;;;;
UBER TECHNOLOGIES INC;Communications;3596999936;16538999808;0,217485941;35,3503;53,1489;11,1459;5956999936;41955000320;16,6973;A;;;;;;;;;;;;;;;;;;
VERISIGN INC;Communications;851699968;-1900600064;-0,448121614;;22,2826;71,2494;851700000;1542400000;4,0826;A;;;;;;;;;;;;;;;;;;
VERIZON COMMUNICATIONS INC;Communications;1,69213E+11;97667997696;1,73253272;10,0955;10,0494;31,1551;18534999808;1,34237E+11;0,1059;A;;;;;;;;;;;;;;;;;;
WALT DISNEY CO/THE;Communications;43514998784;1,05522E+11;0,412378434;4,9727;27,2295;11,0171;8558999936;91360999424;1,2711;A;;;;;;;;;;;;;;;;;;
WARNER BROS DISCOVERY INC;Communications;36872998912;36174000128;1,019323237;-28,0867;;21,2304;5308000128;39578000384;-5,8675;BBB;;;;;;;;;;;;;;;;;;
ALTRIA GROUP INC;Consumer Staples;23257999360;-3417999872;-6,80456414;;15,2346;60,3668;8492000000;20362000384;-0,9678;A;7,0772;1,3762;5,3626;0,4376;;;;;;;;;;;;;;
ARCHER-DANIELS-MIDLAND CO;Consumer Staples;10565000192;22267000832;0,474468936;;11,0291;1,2088;3521000000;87009998848;-10,4725;AA;3,6785;;7,36;1,4011;;;;;;;;;;;;;;
BROWN-FORMAN CORP-CLASS B;Consumer Staples;2752000000;3464999936;0,794228009;;20,0318;31,8612;393000000;4091000064;-4,2369;AA;2,1727;;0,6477;2,4748;;;;;;;;;;;;;;
BUNGE GLOBAL SA;Consumer Staples;4064000000;11157999616;0,364222992;;8,772;3,5172;1091000000;54502000640;-11,0375;AAA;3,0593;;6,7856;2,0698;;;;;;;;;;;;;;
CHURCH & DWIGHT CO INC;Consumer Staples;1660800000;4193700096;0,396022596;;32,6186;-1,41;872200000;6053099904;4,7992;AA;1,0285;3,8746;4,946;1,6178;;;;;;;;;;;;;;
